#	Phase	時期	タスク	主体	動かす相手	具体的アクション	成果物	ゴール	ステータス
1	P0事前	〜6/14	ニーズ仮説構造化	菊池	—	実データから課題表作成	ニーズ抽出表	仮説を持って会食に臨む	
2	P0事前	〜6/14	会食ヒアリングシート	菊池	—	ベースライン取得項目を設計(電話/残業/アイコール費/レセ工数)	ヒアリング表	測定基準点を取る準備	
3	P0事前	〜6/14	競合簡易分析	菊池	—	京橋周辺クリニックのWeb/LINE/予約対応を調査	手土産の種	無料診断の材料	
4	P0事前	〜6/14	決裁者確認	菊池	福井	「予算を決めるのは山崎先生か理事長か」をLINEで確認	決裁構造メモ	誰を口説くか確定	
5	P1会食	6/15週	課題ヒアリング	菊池	山崎先生	まず聞く。デッキを開かず仮説を検証	現状課題メモ	真の課題を引き出す	
6	P1会食	6/15週	ベースライン数値取得★	菊池	山崎先生	電話件数/残業h/レセ工数/離職状況を聞き出す	ベースライン値	成果報酬の根拠を取る	
7	P1会食	6/15週	v8提示(当てはめ)	菊池	山崎先生	「先生がさっき言った○○、これで消えます」	—	自分ごと化	
8	P1会食	6/15週	診断許可＋データ開示許可★	菊池	山崎先生	無料削減シミュ作成と既存データ閲覧の許可を取る	口頭合意	診断に進む	
9	P1会食	6/15週	医療事務アポ内諾	菊池	山崎先生	翌週の事務ヒアリングの内諾を取る	アポ内諾	現場に入る	
10	P2診断	〜+1週	削減シミュ報告書	菊池	—	既存データ精査→御院専用の定量報告書	診断書	GIVEで信頼を積む	
11	P2診断	〜+1週	現場ヒアリング	菊池	事務/受付/看護	業務フロー・ボトルネックを実地で・現場を味方化	フロー表	抵抗を先に取る	
12	P2診断	〜+1週	導入可否判断	菊池	山崎先生	報告書を提示→GO/NOをもらう	導入合意	契約前の握り	
13	P3導入	+2〜6週	段階導入(優先2課題)	菊池	ベンダー/院	電話IVR＋LINE問診からスモールスタート	稼働環境	最大ペインを先に潰す	
14	P3導入	+2〜6週	測定ルール合意書★	菊池	山崎先生	同等患者数帯・人員変更月除外を書面化	測定合意書	成果報酬の公平性担保	
15	P3導入	+2〜6週	スタッフ説明会	菊池	事務/看護	抵抗を取る・「楽になる」を体験させる	説明会	現場の定着	
16	P3導入	+2〜6週	個人情報・法規ルール	菊池	山崎先生	3省2GL・要配慮個人情報の運用ルールを書面化	運用ルール	医療法規クリア	
17	P4測定	導入30-90日	効果測定	菊池	—	測定は菊池が巻き取る(院の手間最小)	測定レポート	削減額を確定	
18	P4測定	導入30-90日	成果報酬請求	菊池	法人	削減額×30%を請求	請求	初の課金	
19	P4測定	導入30-90日	福井座組み精算	菊池	福井	覚書連動で分配精算	精算	座組み履行	
20	P5出口	以降	成功事例化→横展開	菊池	福井	事例を福井ルート他院へ・承継/テナント(110万/件)へ接続	紹介	出口で本丸へ	
